MATH	0.0687499999999999
NSPC	0.06
ECON	0.0580327868852459
PHYS	0.053815789473684185
APPM	0.05346153846153848
AHPC	0.053000000000000005
APS	0.05130434782608696
FRIT	0.04804347826086958
GSLL	0.04673076923076924
CHEM	0.04431654676258989
SPAN	0.04240223463687147
IPHY	0.04044776119402983
RLST	0.040416666666666684
HIST	0.03935897435897435
ENGL	0.03767999999999999
MCDB	0.03581196581196582
HUMN	0.034705882352941184
PHIL	0.03431249999999998
PSYC	0.03414285714285712
LING	0.03333333333333334
AAAH	0.032615384615384616
CLAS	0.03185185185185185
ROTC	0.03166666666666667
CSCI	0.03095238095238096
EBIO	0.030884955752212388
PWRT	0.030373134328358243
WMST	0.030344827586206907
PSCI	0.03008547008547007
RASE	0.03
ECEN	0.02880597014925374
FILM	0.028181818181818183
ALAC	0.028064516129032265
SOCY	0.028014705882352928
ATOC	0.028000000000000004
GEOG	0.027857142857142865
ARPL	0.027500000000000017
ANTH	0.026603773584905666
THDN	0.02515625
ARSP	0.025000000000000005
SSPC	0.02465517241379311
GEOL	0.023243243243243252
ETHN	0.022727272727272728
EVEN	0.02
ENVS	0.02
HUEN	0.01945945945945946
ASEN	0.017916666666666668
EMEN	0.01782608695652174
COMM	0.017179487179487186
IAFS	0.015500000000000003
JOUR	0.014583333333333339
CVEN	0.014500000000000008
MUSC	0.014356846473029036
MCEN	0.013666666666666674
BADM	0.013201058201058193
SLHS	0.013142857142857147
EDUC	0.013021582733812957
UGED	0.01263157894736842
CHEN	0.011836734693877552
TLEN	0.009583333333333334
ENGR	0.008714285714285716
ATLS	0.00840909090909091
LAWS	0.007784090909090912
HONR	0.006
MUSM	0
